uid,total_contributions,p_creation,p_modification,p_delete,p_is_used,p_is_edited,p_is_deleted,nbWeeks,focalisation,lonMin,latMin,lonMax,latMax,area_mean_chgst,area_stuhr_bbox
160936,312,0.6923076923076923,0.16025641025641027,0.14743589743589744,0.09313725490196079,0.9519230769230769,0.9903846153846154,7,1.0,8.809569999999999,53.03809366,8.81285748,53.040658066666666,171912.7830727139,4.137817205930928E8
115883,115,0.3565217391304348,0.6347826086956522,0.008695652173913044,0.0392156862745098,0.9391304347826087,0.9739130434782609,2,1.0,8.783809482352941,53.05089821764707,8.78780981764706,53.052801582352956,126923.39028615762,4.137817205930928E8
5925104,2,0.0,1.0,0.0,0.0,0.5,1.0,1,1.0,8.7434193,53.0414209,8.7444912,53.0418527,7035.624928447937,4.137817205930928E8
10927,8,0.0,1.0,0.0,0.0,0.75,1.0,2,1.0,-143.04594285000002,0.49784014999999826,102.6382002,63.132770300000004,0.0,4.137817205930928E8
5297,19,1.0,0.0,0.0,0.0,0.5263157894736843,0.9473684210526316,1,0.0,7.3853352,52.9905518,9.0077639,53.2420103,1.0390910157294405E9,4.137817205930928E8
14002,192,0.3333333333333333,0.625,0.041666666666666664,0.18137254901960784,0.9427083333333334,0.984375,13,0.2704181637142681,8.718731983333335,53.029250000000005,8.858390122222225,53.114607972222224,2.2266541102466533E8,4.137817205930928E8
38066,1,0.0,1.0,0.0,0.0,0.0,1.0,1,1.0,8.7601213,53.0504162,8.7601213,53.0504162,0.0,4.137817205930928E8
680121,5,0.0,1.0,0.0,0.0,0.8,1.0,2,0.16263141111179263,8.68238865,53.02740785,8.82313135,53.1675185,4.3566999289850634E8,4.137817205930928E8
437941,1,0.0,1.0,0.0,0.0,1.0,1.0,1,0.007003779292945249,8.5434492,53.0208115,8.9014645,53.5805978,5.082466548186168E9,4.137817205930928E8
477363,3,0.6666666666666666,0.3333333333333333,0.0,0.0,0.33333333333333337,1.0,1,1.0,8.733887966666666,53.040518999999996,8.733887966666666,53.040518999999996,0.0,4.137817205930928E8
3965065,15,0.2,0.13333333333333333,0.6666666666666666,0.00980392156862745,1.0,1.0,1,1.0,8.73967115,53.0480498,8.743585150000001,53.0496232,93511.69383174127,4.137817205930928E8
