uid;total_contributions;p_creation;p_modification;p_delete;p_is_used;p_is_edited;p_is_deleted;nbWeeks;focalisation
187177;6;0.16666666666666666;0.8333333333333334;0.0;0.0;1.0;1.0;4;0.0
1993009;333;0.45345345345345345;0.4894894894894895;0.057057057057057055;0.23404255319148937;0.975975975975976;1.0;5;0.0
7585116;1;0.0;1.0;0.0;0.0;1.0;1.0;1;0.0
705850;21;0.14285714285714285;0.7619047619047619;0.09523809523809523;0.031914893617021274;1.0;1.0;2;0.0
685878;18;0.0;1.0;0.0;0.031914893617021274;0.9444444444444444;0.9444444444444444;1;0.0
11068;3;0.0;1.0;0.0;0.0;0.33333333333333337;1.0;1;0.0
78656;154;0.37012987012987014;0.5974025974025974;0.032467532467532464;0.1702127659574468;0.9675324675324676;1.0;3;0.0
1506645;2;0.5;0.5;0.0;0.0;0.5;1.0;2;0.0
2391399;2;0.0;1.0;0.0;0.031914893617021274;1.0;1.0;1;0.0
125252;704;0.9573863636363636;0.0014204545454545455;0.041193181818181816;0.1276595744680851;0.9928977272727273;0.9971590909090909;3;0.0
145231;3;0.0;1.0;0.0;0.0;0.33333333333333337;1.0;1;0.0
99151;22;0.8636363636363636;0.13636363636363635;0.0;0.0;0.9090909090909091;1.0;2;0.0
1477976;93;0.946236559139785;0.053763440860215055;0.0;0.07446808510638298;0.946236559139785;0.978494623655914;1;0.0
161619;2;0.0;0.5;0.5;0.0425531914893617;1.0;1.0;1;0.0
23891;2;0.0;1.0;0.0;0.0;0.5;1.0;1;0.0
103253;1;0.0;1.0;0.0;0.0;1.0;1.0;1;0.0
21845;47;0.9787234042553191;0.02127659574468085;0.0;0.0;0.9148936170212766;0.9574468085106383;1;0.0
704348;3;0.6666666666666666;0.3333333333333333;0.0;0.0;1.0;1.0;1;0.0
2422141;12;0.0;1.0;0.0;0.031914893617021274;1.0;1.0;1;0.0
2516858;14;0.6428571428571429;0.35714285714285715;0.0;0.13829787234042554;0.9285714285714286;0.9285714285714286;1;0.0
4827433;150;1.0;0.0;0.0;0.0;0.9933333333333333;0.9933333333333333;1;1.0
91490;5;0.0;1.0;0.0;0.0;0.8;1.0;1;0.0
442210;11;0.0;0.45454545454545453;0.5454545454545454;0.05319148936170213;0.8181818181818181;1.0;1;0.0
187752;16979;0.4293539077684198;0.4152187996937393;0.15542729253784085;1.0;0.9958772601448849;0.9984098003415984;21;1.0
10091;47;0.574468085106383;0.425531914893617;0.0;0.06382978723404255;0.8936170212765957;1.0;3;0.0
10610;4;0.0;1.0;0.0;0.0;0.5;1.0;1;0.0
12149;59360;0.9958894878706199;0.0036219676549865227;4.88544474393531E-4;0.574468085106383;0.9993935309973045;0.9995788409703504;8;1.0
98682;12;0.0;1.0;0.0;0.0;0.75;0.9166666666666666;2;0.0
290680;11;0.0;1.0;0.0;0.0;1.0;0.8181818181818181;1;0.0
7576334;1;0.0;1.0;0.0;0.0;1.0;1.0;1;0.0
145793;2;1.0;0.0;0.0;0.0;1.0;1.0;1;0.0
293774;20;0.0;0.35;0.65;0.06382978723404255;0.9;0.95;1;0.0
1418137;34;0.058823529411764705;0.4411764705882353;0.5;0.07446808510638298;0.9411764705882353;0.9705882352941176;4;0.0
246670;92;0.29347826086956524;0.6956521739130435;0.010869565217391304;0.05319148936170213;0.8913043478260869;0.9565217391304348;2;0.0
181135;5;0.0;1.0;0.0;0.0;0.4;1.0;2;0.0
45453;2;0.0;1.0;0.0;0.0;1.0;0.5;1;0.0
382359;1;0.0;1.0;0.0;0.0;0.0;1.0;1;0.0
860575;1;0.0;1.0;0.0;0.0;0.0;1.0;1;0.0
30099;1;0.0;1.0;0.0;0.0;0.0;1.0;1;0.0
1666446;2;0.0;1.0;0.0;0.0425531914893617;1.0;1.0;1;0.0
321432;376;0.8218085106382979;0.17553191489361702;0.0026595744680851063;0.19148936170212766;0.9574468085106383;0.9946808510638298;10;0.0
858513;1;0.0;1.0;0.0;0.0;0.0;1.0;1;0.0
23966;29;0.10344827586206896;0.7931034482758621;0.10344827586206896;0.05319148936170213;0.6551724137931034;0.9310344827586207;5;0.0
2936716;50;0.96;0.04;0.0;0.010638297872340425;0.96;0.98;2;0.0
1443767;445;0.0;1.0;0.0;0.0;0.9932584269662922;0.9977528089887641;4;0.0
290723;1612;0.6228287841191067;0.3225806451612903;0.05459057071960298;0.6382978723404256;0.9863523573200993;0.9968982630272953;2;0.441895173105519
214436;8;0.0;1.0;0.0;0.0;0.625;1.0;3;0.0
7079;1;0.0;1.0;0.0;0.0;0.0;1.0;1;0.0
582049;108;0.5462962962962963;0.4537037037037037;0.0;0.09574468085106383;0.9351851851851852;1.0;2;1.0
92075;6;0.3333333333333333;0.6666666666666666;0.0;0.0;0.33333333333333337;0.8333333333333334;3;0.0
300459;4986;0.010028078620136383;0.9382270356999599;0.05174488567990373;0.5851063829787234;0.9935820296831127;0.9975932611311673;9;0.0
11185;273;0.9597069597069597;0.029304029304029304;0.01098901098901099;0.0851063829787234;0.9523809523809523;0.9926739926739927;4;0.0
575934;7061;0.6738422319784733;0.2280130293159609;0.09814473870556578;0.7340425531914894;0.9947599490157202;0.9994335080016995;18;0.0
2488;2;1.0;0.0;0.0;0.0;1.0;1.0;1;0.0
214969;1;0.0;0.0;1.0;0.0;1.0;1.0;1;0.0
208829;107;0.2803738317757009;0.719626168224299;0.0;0.3191489361702128;0.9626168224299065;0.9813084112149533;2;0.0
201149;34;0.0;1.0;0.0;0.0;0.8823529411764706;0.9411764705882353;3;7.357062879442754E-4
4219902;8;0.625;0.375;0.0;0.010638297872340425;0.875;1.0;1;0.0
870861;1270;0.002362204724409449;0.8661417322834646;0.131496062992126;0.14893617021276595;0.9952755905511811;0.9976377952755906;7;0.0
50624;5;0.6;0.4;0.0;0.0;1.0;1.0;1;0.0
3197428;10;0.0;1.0;0.0;0.0;1.0;1.0;1;0.0
3371002;14;1.0;0.0;0.0;0.0;0.9285714285714286;0.9285714285714286;1;0.0
529860;284;0.5950704225352113;0.40492957746478875;0.0;0.26595744680851063;0.9647887323943662;0.9929577464788732;6;1.0
101837;6;0.3333333333333333;0.6666666666666666;0.0;0.010638297872340425;0.5;0.8333333333333334;2;0.0
72653;75;0.06666666666666667;0.92;0.013333333333333334;0.07446808510638298;0.9733333333333334;1.0;6;0.0
