uid,total_contributions,p_creation,p_modification,p_delete,p_is_used,p_is_edited,p_is_deleted,nbWeeks,focalisation,lonMin,latMin,lonMax,latMax,area_mean_chgst,area_heilsbronn_bbox
591881,1,0.0,1.0,0.0,0.0,0.0,1.0,1,0.0,10.8196151,48.6648314,11.5666159,49.3880695,1.0155135091846588E10,3.177037399720338E8
1579545,5,0.2,0.8,0.0,0.031413612565445025,0.6,0.6,1,1.0,10.87024,49.3638806,10.8736368,49.3652159,56244.161690725785,3.177037399720338E8
150019,5,0.4,0.6,0.0,0.0,0.8,1.0,1,0.14385700889129358,10.7701095,49.275329,10.8034511,49.3050613,1.838567095820892E7,3.177037399720338E8
13832,49,0.0,0.40816326530612246,0.5918367346938775,0.03664921465968586,0.8979591836734694,1.0,5,1.0,10.789170357142856,49.33183497142857,10.79561317142857,49.337887114285714,736688.8619729304,3.177037399720338E8
1224218,297,0.8383838383838383,0.12457912457912458,0.037037037037037035,0.02617801047120419,0.9797979797979798,0.9865319865319865,5,1.0,10.791791100000001,49.343438025,10.794839425000001,49.345285000000004,90006.7057756477,3.177037399720338E8
178186,16,0.0,1.0,0.0,0.0,0.9375,1.0,1,1.0,-175.2055179,-38.6459422,155.5348968,70.4785607,0.0,3.177037399720338E8
196617,21,0.14285714285714285,0.8571428571428571,0.0,0.015706806282722512,1.0,1.0,1,1.0,10.7800041,49.3335509,10.7803813,49.3337997,1556.6601011594162,3.177037399720338E8
585220,6,0.6666666666666666,0.3333333333333333,0.0,0.0,0.6666666666666667,1.0,2,0.5751121692636588,10.68723355,49.25900715,10.8246947,49.3712558,2.7786874924533546E8,3.177037399720338E8
297482,7,0.0,1.0,0.0,0.005235602094240838,0.7142857142857143,0.8571428571428572,1,0.0,-44.5019519,1.3483344333333325,70.94870173333334,60.99643296666667,3.1211194416456754E13,3.177037399720338E8
128017,323,0.6625386996904025,0.17956656346749225,0.15789473684210525,0.06282722513089005,0.9504643962848297,0.9845201238390093,16,9.735765748179355E-4,9.2891423,47.69845715,12.4951886,52.317590550000006,3.2632640121959204E11,3.177037399720338E8
257555,35,0.34285714285714286,0.6571428571428571,0.0,0.03664921465968586,0.9142857142857143,0.9714285714285714,1,1.0,10.7926326,49.3413221,10.8039659,49.3458553,648741.7175649703,3.177037399720338E8
345109,1,0.0,0.0,1.0,0.0,1.0,1.0,1,0.0,10.651957,49.0813369,11.3142871,49.3110057,1.6814102992952435E9,3.177037399720338E8
268309,2,0.0,0.5,0.5,0.020942408376963352,1.0,1.0,1,1.0,10.8478937,49.3713266,10.8588162,49.3773775,1010999.5047328041,3.177037399720338E8
2380336,74,0.0,1.0,0.0,0.0,0.9459459459459459,0.972972972972973,2,0.09368812846626522,10.164516200000001,49.1990024,11.8081947,49.50760125,1.325571170527699E9,3.177037399720338E8
29717,1,0.0,1.0,0.0,0.0,0.0,1.0,1,0.0,10.1699138,49.1393146,10.7967188,49.2970626,7.813570168139032E8,3.177037399720338E8
322076,1,0.0,1.0,0.0,0.0,0.0,1.0,1,0.008188267774809212,10.6688407,48.607524,11.6358233,50.3354318,3.879987180554025E10,3.177037399720338E8
52248,1,0.0,1.0,0.0,0.0,0.0,1.0,1,2.043285502888407E-4,4.9898856,46.8795339,15.0578296,55.0835395,1.5548670977351177E12,3.177037399720338E8
34843,2,0.0,1.0,0.0,0.0,0.5,1.0,2,0.0,10.891593499999999,49.3485691,11.01446385,49.407066400000005,1.0081849918958044E8,3.177037399720338E8
8732,2,0.0,1.0,0.0,0.0,0.5,1.0,1,3.9800396799839186E-4,6.8095073,47.7167589,13.7348456,53.7382993,7.982426445892054E11,3.177037399720338E8
280090,555,0.6612612612612613,0.3117117117117117,0.02702702702702703,0.1099476439790576,0.9765765765765766,0.9873873873873874,5,1.0,10.743492385714285,49.30963623142856,10.750858377142857,49.316517600000005,956281.2459547746,3.177037399720338E8
479256,2473,0.8305701577031945,0.010917913465426607,0.15851192883137888,0.1256544502617801,0.9959563283461383,0.9995956328346138,7,0.17201954960863333,10.467037461538464,49.20872865384616,10.925638423076922,49.46787226923077,1.8469048471226137E9,3.177037399720338E8
1377802,1,0.0,1.0,0.0,0.0,0.0,1.0,1,0.0,10.271009,49.3806735,10.8497648,49.9510374,6.415334157696147E9,3.177037399720338E8
2415107,185,0.44324324324324327,0.5027027027027027,0.05405405405405406,0.1256544502617801,0.9783783783783784,0.9945945945945946,3,1.0,10.8420789,49.3732634,10.8447514,49.3760175,143373.51523527832,3.177037399720338E8
506415,16,1.0,0.0,0.0,0.005235602094240838,0.9375,1.0,1,1.0,10.7488126,49.3803798,10.7530199,49.3832137,199857.97112765248,3.177037399720338E8
70696,34,0.0,0.9411764705882353,0.058823529411764705,0.010471204188481676,0.7647058823529411,0.8529411764705882,14,0.0,-75.11833820000001,2.7008758999999998,90.02485564999999,56.19861145,7.470511435405343E12,3.177037399720338E8
72235,47,0.3404255319148936,0.6170212765957447,0.0425531914893617,0.0,0.8297872340425532,0.9361702127659575,7,0.02862323235228936,10.433367744444443,48.861412288888886,11.39765202222222,49.541503111111105,1.1099506025797363E10,3.177037399720338E8
43562,1,1.0,0.0,0.0,0.0,1.0,1.0,1,1.0,10.8391367,49.3717942,10.8391367,49.3717942,0.0,3.177037399720338E8
5164,89,0.0,1.0,0.0,0.0,0.9101123595505618,0.9662921348314607,4,0.0,2.94348005,23.580417775,7.614978925,27.48249475,2.4028565346714816E11,3.177037399720338E8
590907,7,0.0,1.0,0.0,0.0,0.5714285714285714,1.0,1,0.0,-23.4779826,29.768427366666668,50.867568500000004,64.00029486666666,1.4961860329267197E13,3.177037399720338E8
13363,10107,0.3994261402988028,0.5113287820322548,0.08924507766894231,1.0,0.9900069258929455,0.9977243494607697,116,0.5022988216437676,10.605580543333334,49.25709941333332,10.88209238,49.40178449000002,5.972398886017306E8,3.177037399720338E8
147510,10,0.0,1.0,0.0,0.010471204188481676,0.7,1.0,1,0.0,-64.0569998,-25.8340459,63.3853614,59.3969892,6.1355474839756414E13,3.177037399720338E8
