"uid";"degre1";"degre2";"degre3";"degre4";"degre5";"degre6";"degre7";"participation";"ccluster1";"ccluster2"
"2875282";"0.0";"0.0";"0.0";"4.0";"0.0";"0.0";"0.0";"0.0";"0.5555555555555556";"null"
"2748306";"63.0";"71.0";"13.0";"68.0";"40.0";"94.0";"0.0";"0.9344942433422825";"0.06017859634435608";"0.05596031241671962"
"2875279";"0.0";"0.0";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"null";"null"
"2887596";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"null";"null";"null"
"589707";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"null";"null";"null"
"2867116";"5.0";"5.0";"0.0";"6.0";"1.0";"0.0";"0.0";"0.8154555940023069";"0.10476190476190476";"0.07326732673267326"
"2092917";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"null";"null";"null"
"2875301";"2.0";"2.0";"0.0";"3.0";"1.0";"0.0";"0.0";"0.8385416666666667";"0.3";"0.1391304347826087"
"2875258";"9.0";"9.0";"0.0";"12.0";"3.0";"9.0";"0.0";"0.9047619047619048";"0.24199623352165725";"0.15029239766081873"
"2875256";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"null";"null";"null"
"2875262";"4.0";"4.0";"0.0";"13.0";"2.0";"0.0";"0.0";"0.7145557655954633";"0.24725274725274726";"0.2716049382716049"
"679837";"0.0";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"null";"null"
"2879356";"4.0";"4.0";"0.0";"7.0";"3.0";"0.0";"0.0";"0.8425925925925927";"0.18981481481481483";"0.147008547008547"
"2875250";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"null";"null";"null"
"4890578";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"null";"null";"null"
"4689884";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"null";"null";"null"
"348055";"4.0";"4.0";"0.0";"10.0";"2.0";"14.0";"0.0";"0.8316032295271051";"0.03467561521252797";"0.019902912621359223"
"2887536";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"null";"null";"null"
"4427745";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"null";"null";"null"
"3628915";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"null";"null";"null"
"2867079";"3.0";"3.0";"0.0";"3.0";"2.0";"0.0";"0.0";"0.8677685950413223";"0.31666666666666665";"0.1688888888888889"
"2559885";"0.0";"0.0";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"null";"null"
"4456424";"0.0";"0.0";"0.0";"1.0";"1.0";"0.0";"0.0";"0.5833333333333334";"null";"0.0"
"1814415";"3.0";"3.0";"0.0";"3.0";"3.0";"0.0";"0.0";"0.875";"0.6111111111111112";"0.35555555555555557"
"1707925";"1.0";"1.0";"0.0";"3.0";"1.0";"0.0";"0.0";"0.7777777777777778";"0.2222222222222222";"0.25"
"2551688";"3.0";"3.0";"0.0";"3.0";"3.0";"0.0";"0.0";"0.875";"0.4305555555555556";"0.26666666666666666"
"2883546";"9.0";"9.0";"0.0";"11.0";"3.0";"0.0";"0.0";"0.833984375";"0.5012820512820513";"0.4163934426229508"
"2879449";"2.0";"3.0";"0.0";"3.0";"1.0";"0.0";"0.0";"0.8353909465020577";"0.11904761904761904";"0.05517241379310345"
"2875357";"4.0";"4.0";"0.0";"4.0";"3.0";"0.0";"0.0";"0.8711111111111112";"0.40476190476190477";"0.28095238095238095"
"2883548";"1.0";"1.0";"0.0";"1.0";"1.0";"0.0";"0.0";"0.875";"null";"0.0"
"77753";"2.0";"3.0";"0.0";"2.0";"1.0";"0.0";"0.0";"0.8385416666666667";"0.16666666666666666";"0.10434782608695652"
"2867176";"0.0";"0.0";"0.0";"3.0";"1.0";"0.0";"0.0";"0.4375";"0.05555555555555555";"0.0"
"4943751";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"null";"null";"null"
"2867181";"9.0";"9.0";"0.0";"18.0";"8.0";"4.0";"0.0";"0.8800636574074074";"0.1138996138996139";"0.0952819332566168"
"4288390";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"null";"null";"null"
"2629613";"1.0";"1.0";"0.0";"2.0";"0.0";"0.0";"0.0";"0.7291666666666667";"0.0";"0.0"
"2613227";"2.0";"4.0";"0.0";"1.0";"1.0";"0.0";"0.0";"0.765625";"0.5238095238095238";"0.3619047619047619"
"3276764";"2.0";"2.0";"1.0";"2.0";"1.0";"0.0";"0.0";"0.9114583333333334";"0.0";"0.08"
"2875365";"3.0";"3.0";"0.0";"3.0";"2.0";"0.0";"0.0";"0.8677685950413223";"0.0";"0.0"
"2871269";"0.0";"0.0";"1.0";"0.0";"2.0";"0.0";"0.0";"0.5185185185185185";"0.0";"0.1"
"3276765";"1.0";"1.0";"0.0";"0.0";"1.0";"0.0";"0.0";"0.7777777777777779";"null";"0.0"
"2875320";"1.0";"1.0";"0.0";"1.0";"0.0";"0.0";"1.0";"0.875";"null";"0.0"
"3276737";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"null";"null";"null"
"4800412";"0.0";"0.0";"1.0";"0.0";"1.0";"0.0";"0.0";"0.5833333333333334";"null";"0.0"
"3276740";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"null";"null";"null"
"1241062";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"null";"null";"null"
