"uid";"name";"nbContributions";"nbDayContributions";"nbNightContributions";"nbOfweekContributions";"nbOfweekendContributions";"nbCreations";"nbModifications";"nbDeletes";"nbBlockReceived";"totalChangesetCount";"p_DayContributions";"p_NightContributions";"p_OfweekContributions";"p_OfweekendContributions";"p_Creations";"p_Modifications";"p_Deletes";"nbChangesetFenetre"
"1848501";"hannes_r";"1";"0";"1";"0";"1";"1";"0";"0";"0";"11";"0.0";"1.0";"0.0";"1.0";"1.0";"0.0";"0.0";"1"
"3099780";"Armire";"1";"0";"1";"1";"0";"0";"1";"0";"0";"6209";"0.0";"1.0";"1.0";"0.0";"0.0";"1.0";"0.0";"1"
"2745477";"Renaud Allard";"1";"0";"1";"0";"1";"1";"0";"0";"0";"50";"0.0";"1.0";"0.0";"1.0";"1.0";"0.0";"0.0";"1"
"19630";"Hooloovoo";"4";"3";"1";"1";"3";"4";"0";"0";"0";"180";"0.75";"0.25";"0.25";"0.75";"1.0";"0.0";"0.0";"2"
"7344";"moenk";"2";"2";"0";"2";"0";"0";"2";"0";"0";"713";"1.0";"0.0";"1.0";"0.0";"0.0";"1.0";"0.0";"1"
"2117777";"ATRC";"1";"1";"0";"1";"0";"1";"0";"0";"0";"3";"1.0";"0.0";"1.0";"0.0";"1.0";"0.0";"0.0";"1"
"2070701";"OpenBeerMapContributor";"35";"27";"8";"30";"5";"0";"35";"0";"0";"2260";"0.7714285714285715";"0.22857142857142856";"0.8571428571428571";"0.14285714285714285";"0.0";"1.0";"0.0";"34"
"680121";"j3d";"91";"91";"0";"0";"91";"21";"62";"8";"0";"470";"1.0";"0.0";"0.0";"1.0";"0.23076923076923078";"0.6813186813186813";"0.08791208791208792";"1"
"1186986";"20-100";"1";"0";"1";"0";"1";"0";"1";"0";"0";"1";"0.0";"1.0";"0.0";"1.0";"0.0";"1.0";"0.0";"1"
"2117785";"riomoscowexpress";"1";"1";"0";"1";"0";"1";"0";"0";"0";"2";"1.0";"0.0";"1.0";"0.0";"1.0";"0.0";"0.0";"1"
"224440";"Syl";"11";"3";"8";"6";"5";"1";"7";"3";"0";"10775";"0.2727272727272727";"0.7272727272727273";"0.5454545454545454";"0.45454545454545453";"0.09090909090909091";"0.6363636363636364";"0.2727272727272727";"7"
"128186";"malcolmh";"2";"2";"0";"0";"2";"0";"2";"0";"2";"13781";"1.0";"0.0";"0.0";"1.0";"0.0";"1.0";"0.0";"1"
"194751";"Goffredo";"18";"4";"14";"6";"12";"3";"14";"1";"0";"3296";"0.2222222222222222";"0.7777777777777778";"0.3333333333333333";"0.6666666666666666";"0.16666666666666666";"0.7777777777777778";"0.05555555555555555";"7"
"200894";"Axone";"2";"2";"0";"2";"0";"0";"2";"0";"0";"245";"1.0";"0.0";"1.0";"0.0";"0.0";"1.0";"0.0";"1"
"194754";"jfcha";"3";"3";"0";"0";"3";"0";"3";"0";"0";"1232";"1.0";"0.0";"0.0";"1.0";"0.0";"1.0";"0.0";"2"
"667850";"Liberal";"1";"1";"0";"1";"0";"0";"1";"0";"0";"290";"1.0";"0.0";"1.0";"0.0";"0.0";"1.0";"0.0";"1"
"165061";"mapper999";"164";"3";"161";"27";"137";"121";"37";"6";"0";"16310";"0.018292682926829267";"0.9817073170731707";"0.16463414634146342";"0.8353658536585366";"0.7378048780487805";"0.22560975609756098";"0.036585365853658534";"7"
"1814748";"Webtress";"1";"0";"1";"1";"0";"1";"0";"0";"0";"1";"0.0";"1.0";"1.0";"0.0";"1.0";"0.0";"0.0";"1"
"1816789";"Adormo";"3";"0";"3";"3";"0";"1";"2";"0";"0";"111";"0.0";"1.0";"1.0";"0.0";"0.3333333333333333";"0.6666666666666666";"0.0";"3"
"2089159";"Manuel Guesdon";"1";"1";"0";"1";"0";"1";"0";"0";"0";"2";"1.0";"0.0";"1.0";"0.0";"1.0";"0.0";"0.0";"1"
"705744";"Jean-Marc Gailis";"147";"54";"93";"38";"109";"43";"81";"23";"0";"88";"0.3673469387755102";"0.6326530612244898";"0.2585034013605442";"0.7414965986394558";"0.2925170068027211";"0.5510204081632653";"0.1564625850340136";"27"
